Name,AnnualRevenue,SquareFeet,NumberEmployees
Camping and Sports Store,300000.00,77000,80
Capable Sales and Service,30000.00,10000,3
Capital Riding Supplies,150000.00,39000,46
Cash & Carry Bikes,150000.00,39000,45
Casual Bicycle Store,80000.00,18000,10
Catalog Store,300000.00,69000,55
Center Cycle Shop,100000.00,25000,20
Central Bicycle Specialists,300000.00,71000,67
Central Discount Store,100000.00,25000,28
Certified Bicycle Supply,100000.00,24000,25
Certified Sports Supply,300000.00,78000,86
Chain and Chain Tool Distributions,80000.00,20000,12
Channel Outlet,150000.00,40000,46
Chic Department Stores,300000.00,71000,58
City Cycling,150000.00,37000,36
City Manufacturing,300000.00,75000,66
Citywide Service and Repair,300000.00,79000,92
Clamps & Brackets Co.,80000.00,17000,10
Classic Cycle Store,80000.00,22000,15
Client Discount Store,100000.00,24000,20
Closeout Boutique,300000.00,70000,55
Closest Bicycle Store,80000.00,22000,12
Coalition Bike Company,80000.00,23000,18
Coho Sports,300000.00,75000,82
Commendable Bikes,150000.00,37000,39
Commerce Bicycle Specialists,80000.00,19000,10
Commercial Sporting Goods,300000.00,74000,61
Community Department Stores,150000.00,36000,34
Commuter Bicycle Store,80000.00,22000,17
Consolidated Messenger,30000.00,7000,8
Consolidated Sales,150000.00,38000,31
Consumer Equipment,150000.00,37000,43
"Contoso, Ltd.",100000.00,24000,25
Convenient Bike Shop,150000.00,38000,46
Convenient Sales and Service,300000.00,77000,98
Corner Bicycle Supply,80000.00,17000,11
Country Parts Shop,80000.00,21000,14
Countryside Company,100000.00,26000,20
Courteous Bicycle Specialists,30000.00,10000,8
Cross-Country Riding Supplies,150000.00,36000,37
Cross-town Parts Shop,80000.00,23000,19
Curbside Sporting Goods,80000.00,20000,10
Curbside Universe,300000.00,73000,82
Custom Accessories Company,300000.00,79000,98
Custom Sales and Service,150000.00,39000,48
Cycle Clearance,150000.00,40000,46
Cycle Merchants,300000.00,75000,67
Cycle Parts and Accessories,80000.00,20000,10
Cycles and Scooters,150000.00,35000,33
Cycles Sales and Repair,100000.00,26000,29
Cycles Wholesaler & Mfg.,80000.00,21000,15
Cycling Goods,150000.00,37000,47
Daring Rides,30000.00,10000,5
Demand Distributors,100000.00,24000,20
Designated Distributors,300000.00,72000,61
Designer Department Stores,300000.00,74000,89
Discount Bicycle Specialists,100000.00,28000,28
Discount Tours,100000.00,28000,28
Distance Bikes,80000.00,20000,12
Distant Inn,150000.00,38000,49
Distinctive Cycles Sales & Service,300000.00,75000,79
Distinctive Store,150000.00,37000,46
District Mall,80000.00,19000,14
Downhill Bicycle Specialists,300000.00,77000,81
Downtown Hotel,300000.00,74000,85
Eastside Cycle Shop,80000.00,21000,11
Eastside Department Store,300000.00,70000,61
Eastside Parts Shop,80000.00,17000,10
Eastside Sporting Goods,80000.00,19000,17
Eastward Bike Accessories,150000.00,39000,39
eCommerce Bikes,300000.00,69000,58
Economic Parts Supply,150000.00,40000,43
Economy Bikes Company,150000.00,41000,43
Economy Center,150000.00,35000,31
Educational Services,80000.00,19000,17
Efficient Cycling,300000.00,77000,93
Eighth Bike Store,80000.00,21000,19
Eighty Toy Stores,150000.00,37000,42
Elemental Sporting Goods,150000.00,41000,49
Eleventh Bike Store,80000.00,22000,18
Elite Bikes,300000.00,69000,58
Endurance Bikes,300000.00,75000,70
Engineered Bike Systems,150000.00,40000,37
Enterprise Center,80000.00,23000,19
Essential Bike Works,150000.00,39000,34
Every Bike Shop,300000.00,76000,80
Excellent Bikes,300000.00,75000,81
Excellent Riding Supplies,30000.00,9000,6
Exceptional Cycle Services,100000.00,27000,22
Exchange Parts Inc.,30000.00,9000,8
Exclusive Bicycle Mart,300000.00,77000,100
Executive Discount Store,150000.00,39000,35
Executive Gift Store,300000.00,76000,88
Exemplary Cycles,80000.00,20000,16
Exercise Center,80000.00,23000,19
Exertion Activities Club,150000.00,38000,32
Exhibition Showroom,300000.00,77000,94
Exhilarating Cycles,150000.00,40000,43
Exotic Bikes,300000.00,75000,73
Expert Cycle Store,150000.00,38000,37
Expert Sports Store,300000.00,77000,81
Express Bike Services,150000.00,38000,40
Extended Bike Sales,300000.00,73000,76
Extended Tours,300000.00,78000,97
Extraordinary Bike Works,300000.00,75000,83
Extras Sporting Goods,30000.00,7000,2
Extreme Riding Supplies,300000.00,79000,96
Extreme Toy Store,300000.00,75000,91
"Fabrikam Inc., East",80000.00,20000,11
"Fabrikam Inc., West",80000.00,18000,12
Fad Outlet,30000.00,8000,9
Family Cycle Store,80000.00,18000,16
Family Entertainment Center,300000.00,75000,89
Family's Favorite Bike Shop,80000.00,21000,18
Famous Bike Sales and Service,100000.00,26000,25
Famous Bike Shop,150000.00,37000,40
Farthermost Bike Shop,30000.00,8000,7
Farthest Bike Store,300000.00,74000,80
Fashionable Bikes and Accessories,300000.00,76000,90
Fashionable Department Stores,300000.00,68000,52
Fast Bike Works,100000.00,25000,28
Fast Services,30000.00,9000,3
Fasteners & Bolts Outlet,80000.00,18000,11
Favorite Toy Distributor,300000.00,77000,88
Field Trip Inc,150000.00,35000,33
Field Trip Store,30000.00,8000,2
Fifth Bike Store,100000.00,26000,25
Finer Cycle Shop,80000.00,20000,16
Finer Mart,150000.00,38000,46
Finer Parts Shop,80000.00,19000,18
Finer Riding Supplies,300000.00,78000,98
Finer Sales and Service,300000.00,77000,95
Finer Sporting Goods,80000.00,18000,16
Finish and Sealant Products,80000.00,22000,17
Finished Parts Shop,150000.00,36000,40
First Bike Store,80000.00,21000,17
First Center,150000.00,39000,46
First Cycle Store,30000.00,9000,6
First Department Stores,150000.00,38000,45
First Supplies,100000.00,26000,22
First-Rate Outlet,100000.00,26000,20
Fitness Bike Accessories,150000.00,39000,47
Fitness Cycling,80000.00,18000,16
Fitness Department Stores,150000.00,37000,41
Fitness Discount Store,80000.00,19000,11
Fitness Hotel,300000.00,75000,76
Fitness Sport Boutique,80000.00,23000,18
Fitness Supplies,80000.00,19000,15
Fitness Toy Store,300000.00,75000,84
Fitness Toys,80000.00,21000,11
Flawless Bike Shop,30000.00,10000,4
Fleet Bikes,150000.00,40000,49
Fourth Bike Store,30000.00,9000,3
Friendly Bike Shop,300000.00,75000,89
Friendly Bike Shop,150000.00,39000,30
Friendly Neighborhood Bikes,100000.00,28000,27
Front Runner Bikes,300000.00,77000,87
Front Sporting Goods,300000.00,70000,55
Frugal Bike Shop,80000.00,21000,12
Full Sports Supply,150000.00,38000,47
Full-Service Bike Store,150000.00,38000,39
Fun Times Club,80000.00,22000,14
Fun Toys and Bikes,30000.00,6000,2
Functional Store North,80000.00,19000,12
Functional Store South,300000.00,71000,70
Future Bikes,300000.00,74000,81
Futuristic Bikes,300000.00,77000,79
Futuristic Sport Distributors,300000.00,78000,94
Games and Sport Supply Company,150000.00,42000,48
Gasless Cycle Shop,100000.00,24000,29
Gears and Parts Company,300000.00,74000,87
Gear-Shift Bikes Limited,80000.00,21000,11
General Associates,30000.00,9000,4
General Bike Corporation,150000.00,38000,48
General Cycle Storehouse,80000.00,20000,12
General Department Stores,30000.00,11000,8
General Industries,150000.00,42000,48
General Riding Supplies,150000.00,36000,34
General Supplies,80000.00,21000,12
Genial Bike Associates,300000.00,70000,55
Genuine Bike Shop,300000.00,76000,95
Getaway Inn,300000.00,75000,80
Gift and Toy Store,150000.00,36000,37
Global Bike Retailers,150000.00,40000,49
Global Plaza,80000.00,19000,19
Global Sporting Goods,150000.00,36000,39
Global Sports Outlet,300000.00,75000,70
Glossy Bikes,80000.00,22000,19
Go-cart and Bike Specialists,300000.00,78000,90
Golf and Cycle Store,300000.00,75000,86
Good Bicycle Store,300000.00,71000,67
Good Bike Shop,80000.00,19000,14
Good Toys,30000.00,9000,5
Grand Bicycle Stores,30000.00,10000,2
Grand Cycle Store,150000.00,41000,43
Grand Discount Store,300000.00,75000,94
Grand Industries,300000.00,77000,81
Grand Sport Boutique,150000.00,39000,46
Grease and Oil Products Company,150000.00,36000,38
Great Bicycle Supply,100000.00,27000,20
"Great Bikes ",30000.00,10000,3
Greater Bike Store,150000.00,39000,47
Grown-up Bike Store,300000.00,75000,82
Guaranteed Sales and Service,100000.00,28000,28
Handy Bike Services,300000.00,76000,88
Hardware Components,300000.00,75000,91
"Health Spa, Limited",150000.00,40000,46
Healthy Activity Store,300000.00,74000,79
Helmets and Cycles,80000.00,21000,14
"Helpful Sales and Repair Service ",80000.00,19000,16
Hiatus Bike Tours,150000.00,40000,48
Highway Bike Shop,150000.00,40000,49
Historic Bicycle Sales,150000.00,38000,40
Hobby Store,30000.00,6000,5
Home Town Bike Store,80000.00,20000,11
Hometown Riding Supplies,150000.00,38000,46
Honest Repair Service,300000.00,77000,88
Ideal Components,300000.00,76000,82
Imaginary Toys,80000.00,20000,12
Immediate Repair Shop,80000.00,22000,17
Immense Manufacturing Company,300000.00,76000,73
Impervious Paint Company,80000.00,18000,10
Imported and Domestic Cycles,100000.00,24000,20
Impromptu Trips,150000.00,37000,33
Incomparable Bicycle Store,150000.00,41000,45
Independent Outlet,100000.00,25000,22
Industrial Supplies,300000.00,73000,79
Inexpensive Parts Shop,150000.00,35000,34
Initial Bike Company,80000.00,19000,13
Instant Cycle Store,80000.00,23000,19
Instruments and Parts Company,30000.00,8000,9
Irregulars Outlet,30000.00,7000,5
Journey Sporting Goods,80000.00,21000,13
Jumbo Bikes,150000.00,39000,41
Juvenile Sports Equipment,80000.00,20000,18
Kickstand Sellers,30000.00,8000,3
Kickstands and Accessories Company,30000.00,10000,8
Kids and Adults Cycle Shop,300000.00,75000,93
Large Bike Shop,80000.00,19000,17
Larger Cycle Shop,300000.00,77000,83
Largest Bike Store,30000.00,7000,7
Latest Accessories Sales,150000.00,38000,44
Latest Sports Equipment,80000.00,18000,14
Leading Bike Distributors,80000.00,18000,13
Leading Sales & Repair,300000.00,75000,84
Lease-a-Bike Shop,300000.00,71000,67
Leather and Vinyl Manufacturing,300000.00,68000,52
Leather Seat Factory,300000.00,72000,64
Leisure Activities,80000.00,22000,16
Leisure Clearing House,80000.00,20000,10
Links Works,150000.00,39000,40
Liquidation Sales,150000.00,37000,31
List Price Catalog Company,150000.00,37000,35
Little Bicycle Supply Shop,30000.00,11000,6
Little Sports Center,30000.00,10000,4
Local Hardware Factory,150000.00,41000,46
Local Sales and Rental,30000.00,10000,2
Locks Company,150000.00,40000,43
Lots of Bikes Storehouse,300000.00,73000,76
Low Price Cycles,150000.00,36000,30
Lubricant and Grease Suppliers,150000.00,37000,30
Lustrous Paints and Components,300000.00,77000,80
Machines & Cycles Store,80000.00,22000,19
Mail Market,80000.00,19000,16
Mail-Order Outlet,80000.00,18000,17
Main Bicycle Services,300000.00,75000,85
Maintenance and Repair for Bicycles,150000.00,41000,42
Major Amusement Company,150000.00,36000,37
Major Bicycle Store,150000.00,41000,49
Major Cycling,300000.00,77000,79
Major Equipment Co,150000.00,37000,47
Major Sport Suppliers,300000.00,68000,52
Major Sporting Goods,150000.00,40000,36
Manufacturers Inc,150000.00,39000,42
Many Bikes Store,30000.00,10000,6
Margie's Travel,150000.00,35000,34
Mass Market Bikes,30000.00,7000,5
Mechanical Brake Manufacturers,80000.00,21000,10
Mechanical Products Ltd.,150000.00,38000,37
Mechanical Sports Center,150000.00,40000,40
Mercantile Outlet,300000.00,71000,66
Metal Clearing House,30000.00,9000,5
Metal Processing Company,150000.00,39000,47
Metallic Paint and Overcoat Co,100000.00,26000,28
Metro Bike Mart,300000.00,76000,86
Metro Bike Works,300000.00,77000,100
Metro Cycle Shop,300000.00,74000,83
Metro Manufacturing,150000.00,36000,41
Metro Metals Co.,300000.00,77000,93
Metro Sports Equipment,150000.00,41000,49
Metropolitan Bicycle Supply,300000.00,78000,87
Metropolitan Equipment,300000.00,78000,96
Metropolitan Manufacturing,150000.00,39000,31
Metropolitan Sales and Rental,30000.00,6000,4
Metropolitan Sports Supply,80000.00,21000,13
Mobile Outlet,80000.00,17000,10
Moderately-Priced Bikes Store,150000.00,39000,39
Modern Bike Store,80000.00,21000,15
Modular Cycle Systems,30000.00,6000,5
More Bikes!,300000.00,79000,97
Mountain Bike Center,80000.00,20000,18
Mountain Bike Store,80000.00,22000,14
Mountain Emporium,150000.00,37000,31
Mountain Toy Store,80000.00,18000,17
National Manufacturing,300000.00,80000,99
Nationwide Supply,80000.00,21000,17
Nearby Bike Mall,300000.00,74000,87
Nearby Cycle Shop,80000.00,20000,14
Nearby Sporting Goods,300000.00,71000,52
Nearest Bike Store,30000.00,8000,4
Neighborhood Bicycle Storehouse,80000.00,17000,10
Neighborhood Store,300000.00,77000,87
New and Used Bicycles,80000.00,20000,18
New Bikes Company,150000.00,39000,40
Next Door Cycles,100000.00,27000,20
Next-Door Bike Store,80000.00,21000,13
Nice Bikes,30000.00,9000,8
Noiseless Gear Company,80000.00,20000,13
Nonskid Tire Company,300000.00,80000,100
Non-Slip Pedal Company,30000.00,11000,8
North Bike Company,150000.00,37000,40
Novelty Bikes,300000.00,74000,70
Number 1 Supply,300000.00,75000,76
Number One Bike Co.,150000.00,40000,40
Nuts and Bolts Mfg.,150000.00,37000,35
Odometers and Accessories Company,300000.00,76000,92
Official Parts Shop,100000.00,24000,22
Off-Price Bike Center,80000.00,22000,14
Oils and Fluids Warehouse,150000.00,37000,37
One Bike Company,150000.00,41000,49
One-Piece Handle Bars,300000.00,80000,97
Online Bike Catalog,300000.00,74000,88
Online Bike Sellers,150000.00,39000,40
Online Bike Warehouse,80000.00,21000,17
Only Bikes and Accessories,150000.00,40000,43
Operational Manufacturing,30000.00,8000,2
Optimal Bikes,30000.00,10000,8
Orange Bicycle Company,150000.00,37000,32
Original Bicycle Supply Company,150000.00,38000,43
Our Sporting Goods Store,300000.00,76000,79
Outdoor Aerobic Systems Company,30000.00,8000,3
Outdoor Distributors,150000.00,36000,39
Outdoor Equipment Store,300000.00,76000,89
Outdoor Sporting Goods,300000.00,74000,84
Outdoor Sports Supply,30000.00,9000,2
Outdoor Toy Store,30000.00,8000,8
Out-of-the-Way Hotels,30000.00,8000,4
Outstanding Cycles,300000.00,78000,85
Paint Supply,300000.00,78000,90
Painters Bicycle Specialists,100000.00,24000,27
Paints and Solvents Company,80000.00,18000,13
Parcel Express Delivery Service,150000.00,36000,38
Parts Shop,150000.00,38000,31
Pedal Systems Company,150000.00,39000,43
Pedaling Components,150000.00,36000,35
Pedals Warehouse,80000.00,20000,16
Perfect Toys,300000.00,76000,93
Permanent Finish Products,300000.00,79000,100
Petroleum Products Distributors,300000.00,78000,86
Plastic Parts Company,300000.00,76000,86
Plastic Products Manufacturers,150000.00,37000,40
Popular Bike Lines,80000.00,20000,17
Practical Bike Supply Company,100000.00,26000,25
Precision Gears Inc.,150000.00,38000,40
Preferable Bikes,100000.00,24000,29
Preferred Bikes,300000.00,77000,91
Pretty Bikes and Toys,30000.00,6000,5
Price-Cutter Discount Bikes,300000.00,70000,61
Primary Bike Distributors,150000.00,39000,46
Primary Cycle Shop,150000.00,37000,41
Principal Bicycle Supply,150000.00,39000,36
Principal Bike Company,300000.00,79000,96
Pro Sporting Goods,300000.00,79000,90
Producer Goods Clearinghouse,80000.00,22000,16
Professional Containers and Packaging Co.,150000.00,38000,46
Professional Cycle Store,30000.00,10000,2
Professional Cyclists,300000.00,77000,98
Professional Sales and Service,80000.00,18000,14
Professional Sporting Goods,300000.00,78000,94
Progressive Sports,80000.00,18000,10
Prosperous Tours,300000.00,79000,99
Purchase Mart,150000.00,38000,49
Purple Bicycle Company,100000.00,27000,20
Qualified Sales and Repair Services,300000.00,75000,76
Quality Bike Sales,300000.00,74000,67
Quantity Discounts,80000.00,19000,13
Quick Delivery Service,150000.00,37000,42
Quick Parts and Service,30000.00,7000,5
Quitting Business Distributors,150000.00,40000,49
Racing Association,300000.00,76000,85
Racing Bike Outlet,300000.00,72000,52
Racing Partners,300000.00,79000,92
Racing Sales and Service,300000.00,77000,86
Racing Store,300000.00,78000,92
Racing Supply Distributors,150000.00,38000,41
Racing Tours,150000.00,36000,34
Racing Toys,80000.00,18000,14
Racks and Security Systems,150000.00,39000,36
Rally Day Mall,300000.00,75000,92
Rally Master Company Inc,300000.00,77000,97
Rambling Tours,80000.00,19000,19
Rampart Amusement Company,300000.00,75000,88
Rapid Bikes,150000.00,40000,46
Raw Materials Inc,300000.00,74000,73
Real Sporting Goods,300000.00,72000,76
Reasonable Bicycle Sales,30000.00,10000,6
Recommended Bicycles,150000.00,35000,30
Recreation Supplies,80000.00,22000,18
Recreation Systems,80000.00,20000,14
Recreation Toy Store,80000.00,17000,11
Red Bicycle Company,80000.00,18000,11
Refined Department Stores,30000.00,7000,8
Region Bike Company,300000.00,75000,81
Regional Cycle Shop,30000.00,10000,8
Regional Manufacturing,150000.00,38000,40
Registered Cycle Store,300000.00,77000,87
Reliable Brake Systems,30000.00,7000,6
Reliable Retail Center,150000.00,35000,32
Remarkable Bike Store,80000.00,17000,10
Remote Bicycle Specialists,80000.00,19000,13
Rental Bikes,150000.00,40000,46
Rental Gallery,150000.00,37000,40
Requisite Part Supply,150000.00,39000,35
Resale Services,80000.00,21000,16
Resident Cycle Shop,150000.00,38000,43
Responsible Bike Dealers,150000.00,40000,49
Retail Cycle Shop,150000.00,38000,46
Retail Discount Store,150000.00,37000,34
Retail Mall,300000.00,79000,91
Retail Sales and Service,80000.00,18000,14
Retail Sporting Equipment,300000.00,72000,58
Retail Sporting Goods,300000.00,78000,92
Retail Toy Store,30000.00,8000,7
Retirement Activities Association,30000.00,11000,8
Retread Tire Company,80000.00,20000,18
Retreat Inn,30000.00,7000,8
Rewarding Activities Company,300000.00,76000,93
Rich Department Store,300000.00,76000,94
Riders Company,80000.00,21000,15
Riding Associates,150000.00,36000,33
Riding Cycles,300000.00,74000,70
Riding Excursions,100000.00,27000,28
Riverside Company,150000.00,38000,33
Road Way Sales and Rental,30000.00,10000,6
Roadway Bicycle Supply,80000.00,19000,10
Roadway Bike Emporium,300000.00,68000,52
Road-Way Mart,100000.00,26000,27
Roadway Supplies,300000.00,73000,79
Rodeway Bike Store,30000.00,7000,4
Roving Sports,150000.00,41000,43
Rugged Bikes,300000.00,77000,95
Running and Cycling Gear,30000.00,7000,4
Rural Bicycle Supply,30000.00,10000,6
Rural Cycle Emporium,80000.00,21000,11
Rural Department Store,150000.00,35000,31
Rural Mountain Bike Mart,150000.00,39000,35
Rural Sales and Service,150000.00,37000,43
Rural Sporting Goods,80000.00,20000,10
Rustic Bike Store,80000.00,19000,12
Safe Cycles Shop,300000.00,72000,73
Safe Toys,300000.00,74000,73
Sales and Supply Company,300000.00,75000,95
Sample Bike Store,30000.00,7000,5
Satin Finish Company,300000.00,74000,66
Scooters and Bikes Store,80000.00,21000,14
Scratch-Resistant Finishes Company,80000.00,21000,16
Seaside Bike Works,80000.00,19000,10
Seats and Saddles Company,150000.00,38000,36
Second Bike Shop,80000.00,21000,19
Security Racks and Locks Wholesalers,150000.00,41000,43
Selected Distributors,100000.00,27000,27
Self-Contained Cycle Parts Company,30000.00,7000,4
Sellers of Cycles,150000.00,37000,43
Sensational Discount Store,300000.00,73000,80
Sensible Sports,150000.00,37000,33
Separate Parts Corporation,80000.00,21000,16
Serious Cycles,300000.00,71000,64
Seventh Bike Store,30000.00,10000,2
Sharp Bikes,80000.00,19000,19
Sheet Metal Manufacturing,80000.00,19000,17
Shipping Specialists,80000.00,20000,13
Showcase for Cycles,300000.00,71000,64
Simple Bike Parts,80000.00,21000,19
Sixth Bike Store,150000.00,37000,42
"Sleek Bikes ",300000.00,70000,55
Small Bike Accessories Shop,150000.00,37000,34
Small Bike Shop,80000.00,23000,19
Small Cycle Store,100000.00,25000,28
Social Activities Club,150000.00,39000,43
Solid Bike Parts,300000.00,77000,99
Some Discount Store,100000.00,27000,22
South Bike Company,150000.00,40000,37
Spa and Exercise Outfitters,300000.00,79000,98
Spare Parts Co.,80000.00,19000,17
Sparkling Paint and Finishes,300000.00,76000,84
Specialty Sports Store,80000.00,20000,16
Speedometer Sales,150000.00,39000,37
Spoke Manufacturers,300000.00,74000,61
Sporting Goods and Bicycle Shop,300000.00,78000,91
Sports Commodities,150000.00,37000,32
Sports Merchandise,300000.00,73000,83
Sports Products Store,300000.00,78000,99
Sports Products Store,100000.00,26000,28
Sports Sales and Rental,300000.00,72000,64
Sports Store,300000.00,76000,95
Standard Bikes,150000.00,38000,42
Stationary Bikes and Stands,300000.00,76000,96
Steel Inc.,300000.00,74000,67
Stock Parts and Supplies,300000.00,76000,76
Strenuous Exercise Shop,30000.00,7000,8
Strong Metal Manufacturing,150000.00,36000,38
Sturdy Toys,30000.00,9000,7
Stylish Department Stores,150000.00,39000,34
Suburban Cycle Shop,30000.00,10000,8
Successful Sales Company,150000.00,38000,46
Summer Sports Place,300000.00,73000,73
Sundry Sporting Goods,30000.00,7000,5
Sunny Place Bikes,150000.00,39000,31
Super Sports Store,300000.00,78000,100
Superb Sales and Repair,80000.00,19000,18
Superior Hardware Distributors,100000.00,25000,20
Superlative Bikes,150000.00,36000,30
Sure & Reliable Sporting Goods,80000.00,22000,17
Swift Cycles,80000.00,22000,14
Synthetic Materials Manufacturing,150000.00,39000,40
Systematic Sales,300000.00,73000,55
Tachometers and Accessories,100000.00,25000,28
Tandem Bicycle Store,150000.00,37000,46
Tandem Sales and Service,150000.00,38000,34
Technical Parts Manufacturing,30000.00,7000,5
Teen Discount Store,80000.00,18000,16
Tenth Bike Store,80000.00,23000,18
The Accessories Store,80000.00,18000,13
The Bicycle Accessories Company,150000.00,37000,43
The Bike Mechanics,80000.00,18000,16
The Bike Outlet,80000.00,21000,19
The Bike Shop,300000.00,73000,70
The Commissary,30000.00,9000,6
The Cycle Store,80000.00,22000,16
The Gear Store,80000.00,21000,14
The New Bike Store,150000.00,37000,40
The Showroom,300000.00,79000,97
Third Bike Store,150000.00,37000,44
This Area Sporting Goods,150000.00,39000,38
Thorough Parts and Repair Services,80000.00,22000,18
Thrifty Parts and Sales,30000.00,8000,7
Thrilling Bike Tours,150000.00,37000,37
Timely Shipping Service,100000.00,24000,20
Tiny Bike Boutique,30000.00,6000,4
Tire Company,150000.00,37000,45
Tire Exchange,150000.00,36000,31
Tires and Tubes,300000.00,79000,90
Top Bike Market,300000.00,75000,80
Top of the Line Bikes,150000.00,40000,46
Top Sports Supply,300000.00,78000,85
Topnotch Bikes,80000.00,22000,13
Totes & Baskets Company,30000.00,6000,2
Tough and Reliable Parts,150000.00,40000,43
Touring Services,150000.00,38000,43
Town Industries,150000.00,38000,40
Township Inn,80000.00,18000,11
Toy Manufacturing Inc,150000.00,40000,41
Traction Tire Company,150000.00,39000,31
Traditional Department Stores,80000.00,18000,14
Trailblazing Sports,300000.00,78000,91
Transport Bikes,150000.00,41000,44
Transportation Options,80000.00,20000,17
Travel Sports,80000.00,18000,17
Travel Systems,80000.00,21000,19
Tread Industries,300000.00,77000,85
Trendy Department Stores,30000.00,9000,5
Trusted Catalog Store,100000.00,25000,25
Tubeless Tire Company,300000.00,75000,89
Twelfth Bike Store,80000.00,21000,18
Twin Cycles,80000.00,21000,11
Two Bike Shops,80000.00,20000,14
Two Wheels Cycle Store,80000.00,22000,13
Two-Seater Bikes,300000.00,80000,96
Two-Wheeled Transit Company,150000.00,38000,34
Ultimate Bicycle Company,300000.00,78000,94
Ultimate Bike Shop,300000.00,78000,84
Uncompromising Quality Co,150000.00,39000,46
Underglaze and Finish Company,80000.00,18000,11
"Unicycles, Bicycles, and Tricycles",80000.00,17000,10
Unified Sports Company,300000.00,80000,98
Unique Bikes,100000.00,27000,25
Unsurpassed Bikes,150000.00,39000,32
Unusual Bicycle Company,300000.00,78000,99
Up-To-Date Sports,100000.00,26000,20
Urban Sports Emporium,100000.00,24000,29
Utilitarian Sporting Goods,300000.00,72000,55
Uttermost Bike Shop,80000.00,20000,19
Vale Riding Supplies,150000.00,37000,31
Valley Bicycle Distributors,300000.00,76000,84
Valley Bicycle Specialists,300000.00,72000,66
Valley Toy Store,30000.00,9000,6
Valuable Bike Parts Company,80000.00,20000,16
Variety Bike Outlet,30000.00,9000,6
Variety Cycling,80000.00,21000,19
Vast Bike Sales and Rental,300000.00,73000,70
Vehicle Shop,150000.00,38000,44
Versatile Sporting Goods Company,300000.00,74000,64
Very Best Sports Supply,100000.00,28000,28
Vigorous Exercise Company,300000.00,72000,61
Vigorous Sports Store,300000.00,73000,82
Village Tours,150000.00,40000,37
Vintage Sport Boutique,30000.00,9000,2
Vinyl and Plastic Goods Corporation,150000.00,41000,43
Volume Bike Sellers,300000.00,78000,100
Weekend Bike Tours,30000.00,7000,4
Weekend Tours,30000.00,9000,9
West Side Mart,80000.00,19000,18
West Wind Distributors,100000.00,27000,29
Western Bike Supplies,150000.00,38000,48
Westside Cycle Store,80000.00,20000,10
Westside Plaza,300000.00,74000,83
Wheel Gallery,300000.00,79000,90
Wheels Inc.,80000.00,19000,16
Wheelsets Storehouse,300000.00,73000,66
