Name,YearOpened,AnnualRevenue
Chain and Chain Tool Distributions,1976,80000.00
Channel Outlet,1991,150000.00
Chic Department Stores,1999,300000.00
City Cycling,1976,150000.00
City Manufacturing,1979,300000.00
Citywide Service and Repair,1987,300000.00
Clamps & Brackets Co.,1985,80000.00
Classic Cycle Store,1999,80000.00
Client Discount Store,2000,100000.00
Closeout Boutique,1999,300000.00
Closest Bicycle Store,1976,80000.00
Coalition Bike Company,1997,80000.00
Coho Sports,1984,300000.00
Commendable Bikes,1974,150000.00
Commerce Bicycle Specialists,1985,80000.00
Commercial Sporting Goods,1979,300000.00
Community Department Stores,1983,150000.00
Commuter Bicycle Store,1987,80000.00
Consolidated Messenger,1982,30000.00
Consolidated Sales,1990,150000.00
Consumer Equipment,1992,150000.00
"Contoso, Ltd.",2001,100000.00
Convenient Bike Shop,1991,150000.00
Convenient Sales and Service,1998,300000.00
Corner Bicycle Supply,1993,80000.00
Country Parts Shop,1994,80000.00
Countryside Company,2000,100000.00
Courteous Bicycle Specialists,1982,30000.00
Cross-Country Riding Supplies,1995,150000.00
Cross-town Parts Shop,1990,80000.00
Curbside Sporting Goods,1972,80000.00
Curbside Universe,1984,300000.00
Custom Accessories Company,1998,300000.00
Custom Sales and Service,1994,150000.00
Cycle Clearance,1991,150000.00
Cycle Merchants,1991,300000.00
Cycle Parts and Accessories,1985,80000.00
Cycles and Scooters,1978,150000.00
Cycles Sales and Repair,2001,100000.00
Cycles Wholesaler & Mfg.,1999,80000.00
Cycling Goods,1986,150000.00
Daring Rides,1976,30000.00
Demand Distributors,2000,100000.00
Designated Distributors,1979,300000.00
Designer Department Stores,1980,300000.00
Discount Bicycle Specialists,1971,100000.00
Discount Tours,1971,100000.00
Distance Bikes,1988,80000.00
Distant Inn,1989,150000.00
Distinctive Cycles Sales & Service,1995,300000.00
Distinctive Store,1997,150000.00
District Mall,1991,80000.00
Downhill Bicycle Specialists,1992,300000.00
Downtown Hotel,1986,300000.00
Eastside Cycle Shop,1988,80000.00
Eastside Department Store,1979,300000.00
Eastside Parts Shop,1970,80000.00
Eastside Sporting Goods,2000,80000.00
Eastward Bike Accessories,1974,150000.00
eCommerce Bikes,1999,300000.00
Economic Parts Supply,1992,150000.00
Economy Bikes Company,1980,150000.00
Economy Center,1998,150000.00
Educational Services,1987,80000.00
Efficient Cycling,1974,300000.00
Eighth Bike Store,1975,80000.00
Eighty Toy Stores,1985,150000.00
Elemental Sporting Goods,1989,150000.00
Eleventh Bike Store,1975,80000.00
Elite Bikes,1999,300000.00
Endurance Bikes,1993,300000.00
Engineered Bike Systems,1971,150000.00
Enterprise Center,2000,80000.00
Essential Bike Works,1972,150000.00
Every Bike Shop,1987,300000.00
Excellent Bikes,1992,300000.00
Excellent Riding Supplies,1979,30000.00
Exceptional Cycle Services,1996,100000.00
Exchange Parts Inc.,1975,30000.00
Exclusive Bicycle Mart,1999,300000.00
Executive Discount Store,1988,150000.00
Executive Gift Store,1975,300000.00
Exemplary Cycles,1984,80000.00
Exercise Center,1975,80000.00
Exertion Activities Club,1984,150000.00
Exhibition Showroom,1974,300000.00
Exhilarating Cycles,1980,150000.00
Exotic Bikes,1998,300000.00
Expert Cycle Store,1995,150000.00
Expert Sports Store,1992,300000.00
Express Bike Services,1995,150000.00
Extended Bike Sales,1990,300000.00
Extended Tours,1992,300000.00
Extraordinary Bike Works,1989,300000.00
Extras Sporting Goods,1970,30000.00
Extreme Riding Supplies,1986,300000.00
Extreme Toy Store,1977,300000.00
"Fabrikam Inc., East",1993,80000.00
"Fabrikam Inc., West",1976,80000.00
Fad Outlet,1990,30000.00
Family Cycle Store,1994,80000.00
Family Entertainment Center,1980,300000.00
Family's Favorite Bike Shop,1997,80000.00
Famous Bike Sales and Service,2001,100000.00
Famous Bike Shop,1982,150000.00
Farthermost Bike Shop,1987,30000.00
Farthest Bike Store,1987,300000.00
Fashionable Bikes and Accessories,1972,300000.00
Fashionable Department Stores,1998,300000.00
Fast Bike Works,1971,100000.00
Fast Services,1981,30000.00
Fasteners & Bolts Outlet,1993,80000.00
Favorite Toy Distributor,1975,300000.00
Field Trip Inc,1978,150000.00
Field Trip Store,1970,30000.00
Fifth Bike Store,2001,100000.00
Finer Cycle Shop,1984,80000.00
Finer Mart,1997,150000.00
Finer Parts Shop,1975,80000.00
Finer Riding Supplies,1998,300000.00
Finer Sales and Service,1980,300000.00
Finer Sporting Goods,1984,80000.00
Finish and Sealant Products,1997,80000.00
Finished Parts Shop,1995,150000.00
First Bike Store,2000,80000.00
First Center,1986,150000.00
First Cycle Store,1970,30000.00
First Department Stores,1983,150000.00
First Supplies,1996,100000.00
First-Rate Outlet,2000,100000.00
Fitness Bike Accessories,1986,150000.00
Fitness Cycling,1988,80000.00
Fitness Department Stores,1977,150000.00
Fitness Discount Store,1993,80000.00
Fitness Hotel,1990,300000.00
Fitness Sport Boutique,1994,80000.00
Fitness Supplies,1999,80000.00
Fitness Toy Store,1981,300000.00
Fitness Toys,1988,80000.00
Flawless Bike Shop,1978,30000.00
Fleet Bikes,1989,150000.00
Fourth Bike Store,1981,30000.00
Friendly Bike Shop,1980,300000.00
Friendly Bike Shop,1996,150000.00
Friendly Neighborhood Bikes,1998,100000.00
Front Runner Bikes,1983,300000.00
Front Sporting Goods,1999,300000.00
Frugal Bike Shop,1988,80000.00
Full Sports Supply,1986,150000.00
Full-Service Bike Store,1974,150000.00
Fun Times Club,1982,80000.00
Fun Toys and Bikes,1973,30000.00
Functional Store North,1988,80000.00
Functional Store South,1993,300000.00
Future Bikes,1992,300000.00
Futuristic Bikes,1995,300000.00
Futuristic Sport Distributors,1974,300000.00
Games and Sport Supply Company,1994,150000.00
Gasless Cycle Shop,2001,100000.00
Gears and Parts Company,1983,300000.00
Gear-Shift Bikes Limited,1993,80000.00
General Associates,1976,30000.00
General Bike Corporation,1994,150000.00
General Cycle Storehouse,1988,80000.00
General Department Stores,1982,30000.00
General Industries,1994,150000.00
General Riding Supplies,1983,150000.00
General Supplies,1988,80000.00
Genial Bike Associates,1999,300000.00
Genuine Bike Shop,1980,300000.00
Getaway Inn,1987,300000.00
Gift and Toy Store,1971,150000.00
Global Bike Retailers,1992,150000.00
Global Plaza,1975,80000.00
Global Sporting Goods,1974,150000.00
Global Sports Outlet,1993,300000.00
Glossy Bikes,2000,80000.00
Go-cart and Bike Specialists,1972,300000.00
Golf and Cycle Store,1978,300000.00
Good Bicycle Store,1991,300000.00
Good Bike Shop,1982,80000.00
Good Toys,1984,30000.00
Grand Bicycle Stores,1973,30000.00
Grand Cycle Store,1992,150000.00
Grand Discount Store,1974,300000.00
Grand Industries,1992,300000.00
Grand Sport Boutique,1991,150000.00
Grease and Oil Products Company,1979,150000.00
Great Bicycle Supply,2000,100000.00
"Great Bikes ",1981,30000.00
Greater Bike Store,1986,150000.00
Grown-up Bike Store,1984,300000.00
Guaranteed Sales and Service,1971,100000.00
Handy Bike Services,1975,300000.00
Hardware Components,1977,300000.00
"Health Spa, Limited",1986,150000.00
Healthy Activity Store,1995,300000.00
Helmets and Cycles,1994,80000.00
"Helpful Sales and Repair Service ",1994,80000.00
Hiatus Bike Tours,1994,150000.00
Highway Bike Shop,1989,150000.00
Historic Bicycle Sales,1982,150000.00
Hobby Store,1976,30000.00
Home Town Bike Store,1988,80000.00
Hometown Riding Supplies,1991,150000.00
Honest Repair Service,1975,300000.00
Ideal Components,1984,300000.00
Imaginary Toys,1976,80000.00
Immediate Repair Shop,2000,80000.00
Immense Manufacturing Company,1998,300000.00
Impervious Paint Company,1972,80000.00
Imported and Domestic Cycles,2000,100000.00
Impromptu Trips,1978,150000.00
Incomparable Bicycle Store,1983,150000.00
Independent Outlet,1996,100000.00
Industrial Supplies,1995,300000.00
Inexpensive Parts Shop,1972,150000.00
Initial Bike Company,1996,80000.00
Instant Cycle Store,1990,80000.00
Instruments and Parts Company,1990,30000.00
Irregulars Outlet,1984,30000.00
Journey Sporting Goods,1996,80000.00
Jumbo Bikes,1977,150000.00
Juvenile Sports Equipment,1994,80000.00
Kickstand Sellers,1981,30000.00
Kickstands and Accessories Company,1982,30000.00
Kids and Adults Cycle Shop,1974,300000.00
Large Bike Shop,1987,80000.00
Larger Cycle Shop,1989,300000.00
Largest Bike Store,1987,30000.00
Latest Accessories Sales,1988,150000.00
Latest Sports Equipment,1991,80000.00
Leading Bike Distributors,1978,80000.00
Leading Sales & Repair,1981,300000.00
Lease-a-Bike Shop,1991,300000.00
Leather and Vinyl Manufacturing,1998,300000.00
Leather Seat Factory,1996,300000.00
Leisure Activities,1984,80000.00
Leisure Clearing House,1970,80000.00
Links Works,1974,150000.00
Liquidation Sales,1990,150000.00
List Price Catalog Company,1988,150000.00
Little Bicycle Supply Shop,1979,30000.00
Little Sports Center,1976,30000.00
Local Hardware Factory,1997,150000.00
Local Sales and Rental,1973,30000.00
Locks Company,1980,150000.00
Lots of Bikes Storehouse,1990,300000.00
Low Price Cycles,1996,150000.00
Lubricant and Grease Suppliers,1996,150000.00
Lustrous Paints and Components,1987,300000.00
Machines & Cycles Store,1990,80000.00
Mail Market,1994,80000.00
Mail-Order Outlet,2000,80000.00
Main Bicycle Services,1986,300000.00
Maintenance and Repair for Bicycles,1985,150000.00
Major Amusement Company,1995,150000.00
Major Bicycle Store,1992,150000.00
Major Cycling,1995,300000.00
Major Equipment Co,1986,150000.00
Major Sport Suppliers,1998,300000.00
Major Sporting Goods,1976,150000.00
Manufacturers Inc,1985,150000.00
Many Bikes Store,1979,30000.00
Margie's Travel,1972,150000.00
Mass Market Bikes,1976,30000.00
Mechanical Brake Manufacturers,1970,80000.00
Mechanical Products Ltd.,1971,150000.00
Mechanical Sports Center,1995,150000.00
Mercantile Outlet,1979,300000.00
Metal Clearing House,1984,30000.00
Metal Processing Company,1986,150000.00
Metallic Paint and Overcoat Co,1971,100000.00
Metro Bike Mart,1978,300000.00
Metro Bike Works,1999,300000.00
Metro Cycle Shop,1989,300000.00
Metro Manufacturing,1977,150000.00
Metro Metals Co.,1974,300000.00
Metro Sports Equipment,1992,150000.00
Metropolitan Bicycle Supply,1983,300000.00
Metropolitan Equipment,1986,300000.00
Metropolitan Manufacturing,1990,150000.00
Metropolitan Sales and Rental,1976,30000.00
Metropolitan Sports Supply,1978,80000.00
Mobile Outlet,1970,80000.00
Moderately-Priced Bikes Store,1974,150000.00
Modern Bike Store,1999,80000.00
Modular Cycle Systems,1976,30000.00
More Bikes!,1992,300000.00
Mountain Bike Center,1994,80000.00
Mountain Bike Store,1991,80000.00
Mountain Emporium,1998,150000.00
Mountain Toy Store,2000,80000.00
National Manufacturing,1999,300000.00
Nationwide Supply,1987,80000.00
Nearby Bike Mall,1983,300000.00
Nearby Cycle Shop,1994,80000.00
Nearby Sporting Goods,1998,300000.00
Nearest Bike Store,1976,30000.00
Neighborhood Bicycle Storehouse,1985,80000.00
Neighborhood Store,1983,300000.00
New and Used Bicycles,1994,80000.00
New Bikes Company,1974,150000.00
Next Door Cycles,2000,100000.00
Next-Door Bike Store,1996,80000.00
Nice Bikes,1975,30000.00
Noiseless Gear Company,1996,80000.00
Nonskid Tire Company,1999,300000.00
Non-Slip Pedal Company,1975,30000.00
North Bike Company,1982,150000.00
Novelty Bikes,1993,300000.00
Number 1 Supply,1990,300000.00
Number One Bike Co.,1982,150000.00
Nuts and Bolts Mfg.,1988,150000.00
Odometers and Accessories Company,1987,300000.00
Official Parts Shop,1996,100000.00
Off-Price Bike Center,1994,80000.00
Oils and Fluids Warehouse,1995,150000.00
One Bike Company,1989,150000.00
One-Piece Handle Bars,1992,300000.00
Online Bike Catalog,1975,300000.00
Online Bike Sellers,1982,150000.00
Online Bike Warehouse,1997,80000.00
Only Bikes and Accessories,1992,150000.00
Operational Manufacturing,1970,30000.00
Optimal Bikes,1982,30000.00
Orange Bicycle Company,1984,150000.00
Original Bicycle Supply Company,1980,150000.00
Our Sporting Goods Store,1995,300000.00
Outdoor Aerobic Systems Company,1981,30000.00
Outdoor Distributors,1974,150000.00
Outdoor Equipment Store,1980,300000.00
Outdoor Sporting Goods,1981,300000.00
Outdoor Sports Supply,1973,30000.00
Outdoor Toy Store,1975,30000.00
Out-of-the-Way Hotels,1978,30000.00
Outstanding Cycles,1986,300000.00
Paint Supply,1972,300000.00
Painters Bicycle Specialists,1998,100000.00
Paints and Solvents Company,1978,80000.00
Parcel Express Delivery Service,1979,150000.00
Parts Shop,1998,150000.00
Pedal Systems Company,1980,150000.00
Pedaling Components,1988,150000.00
Pedals Warehouse,1984,80000.00
Perfect Toys,1974,300000.00
Permanent Finish Products,1999,300000.00
Petroleum Products Distributors,1978,300000.00
Plastic Parts Company,1978,300000.00
Plastic Products Manufacturers,1982,150000.00
Popular Bike Lines,1987,80000.00
Practical Bike Supply Company,2001,100000.00
Precision Gears Inc.,1995,150000.00
Preferable Bikes,2001,100000.00
Preferred Bikes,1977,300000.00
Pretty Bikes and Toys,1984,30000.00
Price-Cutter Discount Bikes,1979,300000.00
Primary Bike Distributors,1986,150000.00
Primary Cycle Shop,1977,150000.00
Principal Bicycle Supply,1976,150000.00
Principal Bike Company,1986,300000.00
Pro Sporting Goods,1972,300000.00
Producer Goods Clearinghouse,1988,80000.00
Professional Containers and Packaging Co.,1997,150000.00
Professional Cycle Store,1970,30000.00
Professional Cyclists,1998,300000.00
Professional Sales and Service,1991,80000.00
Professional Sporting Goods,1974,300000.00
Progressive Sports,1972,80000.00
Prosperous Tours,1999,300000.00
Purchase Mart,1992,150000.00
Purple Bicycle Company,2000,100000.00
Qualified Sales and Repair Services,1990,300000.00
Quality Bike Sales,1991,300000.00
Quantity Discounts,1996,80000.00
Quick Delivery Service,1985,150000.00
Quick Parts and Service,1984,30000.00
Quitting Business Distributors,1989,150000.00
Racing Association,1986,300000.00
Racing Bike Outlet,1998,300000.00
Racing Partners,1987,300000.00
Racing Sales and Service,1978,300000.00
Racing Store,1987,300000.00
Racing Supply Distributors,1977,150000.00
Racing Tours,1983,150000.00
Racing Toys,1991,80000.00
Racks and Security Systems,1976,150000.00
Rally Day Mall,1987,300000.00
Rally Master Company Inc,1992,300000.00
Rambling Tours,1990,80000.00
Rampart Amusement Company,1975,300000.00
Rapid Bikes,1986,150000.00
Raw Materials Inc,1998,300000.00
Real Sporting Goods,1990,300000.00
Reasonable Bicycle Sales,1970,30000.00
Recommended Bicycles,1996,150000.00
Recreation Supplies,1997,80000.00
Recreation Systems,1982,80000.00
Recreation Toy Store,1988,80000.00
Red Bicycle Company,1988,80000.00
Refined Department Stores,1975,30000.00
Region Bike Company,1992,300000.00
Regional Cycle Shop,1975,30000.00
Regional Manufacturing,1974,150000.00
Registered Cycle Store,1983,300000.00
Reliable Brake Systems,1979,30000.00
Reliable Retail Center,1984,150000.00
Remarkable Bike Store,1972,80000.00
Remote Bicycle Specialists,1978,80000.00
Rental Bikes,1997,150000.00
Rental Gallery,1995,150000.00
Requisite Part Supply,1988,150000.00
Resale Services,1988,80000.00
Resident Cycle Shop,1980,150000.00
Responsible Bike Dealers,1989,150000.00
Retail Cycle Shop,1997,150000.00
Retail Discount Store,1983,150000.00
Retail Mall,1977,300000.00
Retail Sales and Service,1994,80000.00
Retail Sporting Equipment,1999,300000.00
Retail Sporting Goods,1987,300000.00
Retail Toy Store,1987,30000.00
Retirement Activities Association,1982,30000.00
Retread Tire Company,1975,80000.00
Retreat Inn,1982,30000.00
Rewarding Activities Company,1974,300000.00
Rich Department Store,1974,300000.00
Riders Company,1999,80000.00
Riding Associates,1978,150000.00
Riding Cycles,1993,300000.00
Riding Excursions,1971,100000.00
Riverside Company,1978,150000.00
Road Way Sales and Rental,1979,30000.00
Roadway Bicycle Supply,1970,80000.00
Roadway Bike Emporium,1998,300000.00
Road-Way Mart,1998,100000.00
Roadway Supplies,1995,300000.00
Rodeway Bike Store,1976,30000.00
Roving Sports,1992,150000.00
Rugged Bikes,1980,300000.00
Running and Cycling Gear,1978,30000.00
Rural Bicycle Supply,1970,30000.00
Rural Cycle Emporium,1988,80000.00
Rural Department Store,1990,150000.00
Rural Mountain Bike Mart,1988,150000.00
Rural Sales and Service,1992,150000.00
Rural Sporting Goods,1985,80000.00
Rustic Bike Store,1976,80000.00
Safe Cycles Shop,1998,300000.00
Safe Toys,1998,300000.00
Sales and Supply Company,1980,300000.00
Sample Bike Store,1976,30000.00
Satin Finish Company,1979,300000.00
Scooters and Bikes Store,1982,80000.00
Scratch-Resistant Finishes Company,1984,80000.00
Seaside Bike Works,1970,80000.00
Seats and Saddles Company,1976,150000.00
Second Bike Shop,2000,80000.00
Security Racks and Locks Wholesalers,1980,150000.00
Selected Distributors,1998,100000.00
Self-Contained Cycle Parts Company,1976,30000.00
Sellers of Cycles,1980,150000.00
Sensational Discount Store,1987,300000.00
Sensible Sports,1978,150000.00
Separate Parts Corporation,1988,80000.00
Serious Cycles,1996,300000.00
Seventh Bike Store,1973,30000.00
Sharp Bikes,1990,80000.00
Sheet Metal Manufacturing,1997,80000.00
Shipping Specialists,1978,80000.00
Showcase for Cycles,1996,300000.00
Simple Bike Parts,1975,80000.00
Sixth Bike Store,1985,150000.00
"Sleek Bikes ",1999,300000.00
Small Bike Accessories Shop,1972,150000.00
Small Bike Shop,2000,80000.00
Small Cycle Store,1971,100000.00
Social Activities Club,1992,150000.00
Solid Bike Parts,1999,300000.00
Some Discount Store,1996,100000.00
South Bike Company,1995,150000.00
Spa and Exercise Outfitters,1998,300000.00
Spare Parts Co.,1987,80000.00
Sparkling Paint and Finishes,1981,300000.00
Specialty Sports Store,1988,80000.00
Speedometer Sales,1995,150000.00
Spoke Manufacturers,1979,300000.00
Sporting Goods and Bicycle Shop,1977,300000.00
Sports Commodities,1984,150000.00
Sports Merchandise,1989,300000.00
Sports Products Store,1999,300000.00
Sports Products Store,1971,100000.00
Sports Sales and Rental,1996,300000.00
Sports Store,1980,300000.00
Standard Bikes,1985,150000.00
Stationary Bikes and Stands,1986,300000.00
Steel Inc.,1991,300000.00
Stock Parts and Supplies,1990,300000.00
Strenuous Exercise Shop,1982,30000.00
Strong Metal Manufacturing,1979,150000.00
Sturdy Toys,1987,30000.00
Stylish Department Stores,1983,150000.00
Suburban Cycle Shop,1982,30000.00
Successful Sales Company,1997,150000.00
Summer Sports Place,1998,300000.00
Sundry Sporting Goods,1984,30000.00
Sunny Place Bikes,1990,150000.00
Super Sports Store,1999,300000.00
Superb Sales and Repair,1997,80000.00
Superior Hardware Distributors,2000,100000.00
Superlative Bikes,1996,150000.00
Sure & Reliable Sporting Goods,1997,80000.00
Swift Cycles,1991,80000.00
Synthetic Materials Manufacturing,1995,150000.00
Systematic Sales,1999,300000.00
Tachometers and Accessories,1971,100000.00
Tandem Bicycle Store,1986,150000.00
Tandem Sales and Service,1972,150000.00
Technical Parts Manufacturing,1976,30000.00
Teen Discount Store,1994,80000.00
Tenth Bike Store,1994,80000.00
The Accessories Store,1996,80000.00
The Bicycle Accessories Company,1980,150000.00
The Bike Mechanics,1994,80000.00
The Bike Outlet,2000,80000.00
The Bike Shop,1993,300000.00
The Commissary,1970,30000.00
The Cycle Store,1994,80000.00
The Gear Store,1982,80000.00
The New Bike Store,1974,150000.00
The Showroom,1992,300000.00
Third Bike Store,1988,150000.00
This Area Sporting Goods,1979,150000.00
Thorough Parts and Repair Services,1975,80000.00
Thrifty Parts and Sales,1987,30000.00
Thrilling Bike Tours,1971,150000.00
Timely Shipping Service,2000,100000.00
Tiny Bike Boutique,1978,30000.00
Tire Company,1983,150000.00
Tire Exchange,1998,150000.00
Tires and Tubes,1972,300000.00
Top Bike Market,1987,300000.00
Top of the Line Bikes,1986,150000.00
Top Sports Supply,1986,300000.00
Topnotch Bikes,1978,80000.00
Totes & Baskets Company,1970,30000.00
Tough and Reliable Parts,1980,150000.00
Touring Services,1980,150000.00
Town Industries,1974,150000.00
Township Inn,1993,80000.00
Toy Manufacturing Inc,1977,150000.00
Traction Tire Company,1990,150000.00
Traditional Department Stores,1994,80000.00
Trailblazing Sports,1977,300000.00
Transport Bikes,1988,150000.00
Transportation Options,1987,80000.00
Travel Sports,1997,80000.00
Travel Systems,1975,80000.00
Tread Industries,1986,300000.00
Trendy Department Stores,1976,30000.00
Trusted Catalog Store,2001,100000.00
Tubeless Tire Company,1980,300000.00
Twelfth Bike Store,1997,80000.00
Twin Cycles,1988,80000.00
Two Bike Shops,1991,80000.00
Two Wheels Cycle Store,1978,80000.00
Two-Seater Bikes,1986,300000.00
Two-Wheeled Transit Company,1983,150000.00
Ultimate Bicycle Company,1974,300000.00
Ultimate Bike Shop,1981,300000.00
Uncompromising Quality Co,1991,150000.00
Underglaze and Finish Company,1993,80000.00
"Unicycles, Bicycles, and Tricycles",1972,80000.00
Unified Sports Company,1998,300000.00
Unique Bikes,2001,100000.00
Unsurpassed Bikes,1984,150000.00
Unusual Bicycle Company,1999,300000.00
Up-To-Date Sports,2000,100000.00
Urban Sports Emporium,2001,100000.00
Utilitarian Sporting Goods,1999,300000.00
Uttermost Bike Shop,2000,80000.00
Vale Riding Supplies,1998,150000.00
Valley Bicycle Distributors,1981,300000.00
Valley Bicycle Specialists,1979,300000.00
Valley Toy Store,1979,30000.00
Valuable Bike Parts Company,1988,80000.00
Variety Bike Outlet,1970,30000.00
Variety Cycling,1990,80000.00
Vast Bike Sales and Rental,1993,300000.00
Vehicle Shop,1988,150000.00
Versatile Sporting Goods Company,1996,300000.00
Very Best Sports Supply,1971,100000.00
Vigorous Exercise Company,1979,300000.00
Vigorous Sports Store,1984,300000.00
Village Tours,1971,150000.00
Vintage Sport Boutique,1970,30000.00
Vinyl and Plastic Goods Corporation,1980,150000.00
Volume Bike Sellers,1999,300000.00
Weekend Bike Tours,1978,30000.00
Weekend Tours,1990,30000.00
West Side Mart,1975,80000.00
West Wind Distributors,2001,100000.00
Western Bike Supplies,1994,150000.00
Westside Cycle Store,1972,80000.00
Westside Plaza,1989,300000.00
Wheel Gallery,1972,300000.00
Wheels Inc.,1994,80000.00
Wheelsets Storehouse,1979,300000.00
Wholesale Bikes,1998,100000.00
Wholesale Parts,1996,300000.00
Widget Bicycle Specialists,1994,150000.00
Wingtip Toys,1999,80000.00
Wire Baskets and Parts,1975,80000.00
Wonderful Bikes Inc.,1983,150000.00
Work and Play Association,1976,80000.00
Workout Emporium,1976,150000.00
World Bike Discount Store,1979,150000.00
World of Bikes,1997,80000.00
Worthwhile Activity Store,1987,30000.00
Year-Round Sports,1979,300000.00
Yellow Bicycle Company,2001,100000.00
